chip_id,archetype,archetype_confidence,region,imagery_layer,grid_id,detector,source_run,source_pred_id,bbox_geo_wkt,preview_path,added_date,notes,training_eligible
johannesburg_G0772_v3c_p0020,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0020,"POLYGON ((28.013548851013187 -26.216712892055515, 28.013548851013187 -26.216570734977722, 28.013437539339066 -26.216570734977722, 28.013437539339066 -26.216712892055515, 28.013548851013187 -26.216712892055515))",previews/corrugated_metal_roof/johannesburg_G0772_v3c_p0020.png,2026-05-13,,false
johannesburg_G0772_v3c_p0022,skylight_roof_window,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0022,"POLYGON ((28.01520511507988 -26.214707940816872, 28.01520511507988 -26.214665025472637, 28.015154153108597 -26.214665025472637, 28.015154153108597 -26.214707940816872, 28.01520511507988 -26.214707940816872))",previews/skylight_roof_window/johannesburg_G0772_v3c_p0022.png,2026-05-13,,false
johannesburg_G0772_v3c_p0026,hvac_rooftop_equipment,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0026,"POLYGON ((28.020434081554413 -26.214604675769806, 28.020434081554413 -26.21456310153007, 28.02039384841919 -26.21456310153007, 28.02039384841919 -26.214604675769806, 28.020434081554413 -26.214604675769806))",previews/hvac_rooftop_equipment/johannesburg_G0772_v3c_p0026.png,2026-05-13,,false
johannesburg_G0772_v3c_p0027,skylight_roof_window,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0027,"POLYGON ((28.020181953907013 -26.214813888072968, 28.020181953907013 -26.214752197265625, 28.02011489868164 -26.214752197265625, 28.02011489868164 -26.214813888072968, 28.020181953907013 -26.214813888072968))",previews/skylight_roof_window/johannesburg_G0772_v3c_p0027.png,2026-05-13,,false
johannesburg_G0772_v3c_p0029,skylight_roof_window,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0029,"POLYGON ((28.022585213184357 -26.2153060734272, 28.022585213184357 -26.21510624885559, 28.021889179944992 -26.21510624885559, 28.021889179944992 -26.2153060734272, 28.022585213184357 -26.2153060734272))",previews/skylight_roof_window/johannesburg_G0772_v3c_p0029.png,2026-05-13,,false
johannesburg_G0772_v3c_p0030,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0030,"POLYGON ((28.02179530262947 -26.21537178754806, 28.02179530262947 -26.21527254581451, 28.021482825279236 -26.21527254581451, 28.021482825279236 -26.21537178754806, 28.02179530262947 -26.21537178754806))",previews/corrugated_metal_roof/johannesburg_G0772_v3c_p0030.png,2026-05-13,,false
johannesburg_G0772_v3c_p0031,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0031,"POLYGON ((28.021478801965714 -26.2154857814312, 28.021478801965714 -26.21533557772636, 28.020848482847214 -26.21533557772636, 28.020848482847214 -26.2154857814312, 28.021478801965714 -26.2154857814312))",previews/corrugated_metal_roof/johannesburg_G0772_v3c_p0031.png,2026-05-13,,false
johannesburg_G0772_v3c_p0033,ground_road_marking,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0033,"POLYGON ((28.021000027656555 -26.215927004814148, 28.021000027656555 -26.21578082442283, 28.020886033773426 -26.21578082442283, 28.020886033773426 -26.215927004814148, 28.021000027656555 -26.215927004814148))",previews/ground_road_marking/johannesburg_G0772_v3c_p0033.png,2026-05-13,,false
johannesburg_G0772_v3c_p0034,ground_road_marking,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0034,"POLYGON ((28.02103489637375 -26.21608793735504, 28.02103489637375 -26.215955168008797, 28.02091956138611 -26.215955168008797, 28.02091956138611 -26.21608793735504, 28.02103489637375 -26.21608793735504))",previews/ground_road_marking/johannesburg_G0772_v3c_p0034.png,2026-05-13,,false
johannesburg_G0772_v3c_p0043,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0043,"POLYGON ((28.015886396169662 -26.217226535081867, 28.015886396169662 -26.21715277433395, 28.015826046466827 -26.21715277433395, 28.015826046466827 -26.217226535081867, 28.015886396169662 -26.217226535081867))",previews/corrugated_metal_roof/johannesburg_G0772_v3c_p0043.png,2026-05-13,,false
johannesburg_G0772_v3c_p0048,other_unknown,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0048,"POLYGON ((28.01941618323326 -26.217918545007706, 28.01941618323326 -26.217878311872475, 28.019320964813232 -26.217878311872475, 28.019320964813232 -26.217918545007706, 28.01941618323326 -26.217918545007706))",previews/other_unknown/johannesburg_G0772_v3c_p0048.png,2026-05-13,,false
johannesburg_G0772_v3c_p0055,skylight_roof_window,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0055,"POLYGON ((28.0221788585186 -26.217960119247437, 28.0221788585186 -26.21793463826179, 28.022066205739975 -26.21793463826179, 28.022066205739975 -26.217960119247437, 28.0221788585186 -26.217960119247437))",previews/skylight_roof_window/johannesburg_G0772_v3c_p0055.png,2026-05-13,,false
johannesburg_G0773_v3c_p0007,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0773,v3c,cls_pv_thermal_v2,0007,"POLYGON ((28.022590577602386 -26.215226948261257, 28.022590577602386 -26.21513709425926, 28.022346496582035 -26.21513709425926, 28.022346496582035 -26.215226948261257, 28.022590577602386 -26.215226948261257))",previews/corrugated_metal_roof/johannesburg_G0773_v3c_p0007.png,2026-05-13,,false
johannesburg_G0773_v3c_p0024,ground_road_marking,A2,johannesburg,geid_2024_02,G0773,v3c,cls_pv_thermal_v2,0024,"POLYGON ((28.032369911670685 -26.217010617256168, 28.032369911670685 -26.216918081045147, 28.0322827398777 -26.216918081045147, 28.0322827398777 -26.217010617256168, 28.032369911670685 -26.217010617256168))",previews/ground_road_marking/johannesburg_G0773_v3c_p0024.png,2026-05-13,,false
johannesburg_G0773_v3c_p0025,solar_thermal_water_heater,A2,johannesburg,geid_2024_02,G0773,v3c,cls_pv_thermal_v2,0025,"POLYGON ((28.024112731218338 -26.218535453081127, 28.024112731218338 -26.21849253773689, 28.024047017097473 -26.21849253773689, 28.024047017097473 -26.218535453081127, 28.024112731218338 -26.218535453081127))",previews/solar_thermal_water_heater/johannesburg_G0773_v3c_p0025.png,2026-05-13,,false
johannesburg_G0773_v3c_p0027,roof_shadow_dark_fixture,A2,johannesburg,geid_2024_02,G0773,v3c,cls_pv_thermal_v2,0027,"POLYGON ((28.031692653894424 -26.21812775731086, 28.031692653894424 -26.218074113130566, 28.03162157535553 -26.218074113130566, 28.03162157535553 -26.21812775731086, 28.031692653894424 -26.21812775731086))",previews/roof_shadow_dark_fixture/johannesburg_G0773_v3c_p0027.png,2026-05-13,,false
johannesburg_G0775_v3c_p0001,other_unknown,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0001,"POLYGON ((28.04301828145981 -26.211646199226376, 28.04301828145981 -26.211596578359593, 28.043004870414734 -26.211596578359593, 28.043004870414734 -26.211646199226376, 28.04301828145981 -26.211646199226376))",previews/other_unknown/johannesburg_G0775_v3c_p0001.png,2026-05-13,,false
johannesburg_G0775_v3c_p0002,ground_road_marking,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0002,"POLYGON ((28.043267726898193 -26.211972087621692, 28.043267726898193 -26.211880892515175, 28.043160438537598 -26.211880892515175, 28.043160438537598 -26.211972087621692, 28.043267726898193 -26.211972087621692))",previews/ground_road_marking/johannesburg_G0775_v3c_p0002.png,2026-05-13,,false
johannesburg_G0775_v3c_p0003,skylight_roof_window,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0003,"POLYGON ((28.04512783885002 -26.212496459484104, 28.04512783885002 -26.212350279092785, 28.045082241296768 -26.212350279092785, 28.045082241296768 -26.212496459484104, 28.04512783885002 -26.212496459484104))",previews/skylight_roof_window/johannesburg_G0775_v3c_p0003.png,2026-05-13,,false
johannesburg_G0775_v3c_p0004,skylight_roof_window,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0004,"POLYGON ((28.04439291357994 -26.21256083250045, 28.04439291357994 -26.212450861930844, 28.044190406799316 -26.212450861930844, 28.044190406799316 -26.21256083250045, 28.04439291357994 -26.21256083250045))",previews/skylight_roof_window/johannesburg_G0775_v3c_p0004.png,2026-05-13,,false
johannesburg_G0775_v3c_p0007,pergola_carport_shadow,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0007,"POLYGON ((28.047909289598465 -26.211894303560264, 28.047909289598465 -26.211807131767266, 28.047799319028854 -26.211807131767266, 28.047799319028854 -26.211894303560264, 28.047909289598465 -26.211894303560264))",previews/pergola_carport_shadow/johannesburg_G0775_v3c_p0007.png,2026-05-13,,false
johannesburg_G0775_v3c_p0008,pergola_carport_shadow,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0008,"POLYGON ((28.047966957092285 -26.211974769830707, 28.047966957092285 -26.211887598037716, 28.047863692045212 -26.211887598037716, 28.047863692045212 -26.211974769830707, 28.047966957092285 -26.211974769830707))",previews/pergola_carport_shadow/johannesburg_G0775_v3c_p0008.png,2026-05-13,,false
johannesburg_G0775_v3c_p0011,skylight_roof_window,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0011,"POLYGON ((28.04765447974205 -26.21387913823128, 28.04765447974205 -26.213812083005894, 28.047572672367096 -26.213812083005894, 28.047572672367096 -26.21387913823128, 28.04765447974205 -26.21387913823128))",previews/skylight_roof_window/johannesburg_G0775_v3c_p0011.png,2026-05-13,,false
johannesburg_G0775_v3c_p0022,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0022,"POLYGON ((28.045284748077396 -26.21494129300118, 28.045284748077396 -26.214799135923382, 28.04516538977623 -26.214799135923382, 28.04516538977623 -26.21494129300118, 28.045284748077396 -26.21494129300118))",previews/corrugated_metal_roof/johannesburg_G0775_v3c_p0022.png,2026-05-13,,false
johannesburg_G0775_v3c_p0023,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0023,"POLYGON ((28.043030351400375 -26.21528863906861, 28.043030351400375 -26.21526584029197, 28.04300621151924 -26.21526584029197, 28.04300621151924 -26.21528863906861, 28.043030351400375 -26.21528863906861))",previews/corrugated_metal_roof/johannesburg_G0775_v3c_p0023.png,2026-05-13,,false
johannesburg_G0775_v3c_p0026,roof_shadow_dark_fixture,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0026,"POLYGON ((28.045284748077396 -26.216588169336323, 28.045284748077396 -26.216555982828137, 28.045138567686084 -26.216555982828137, 28.045138567686084 -26.216588169336323, 28.045284748077396 -26.216588169336323))",previews/roof_shadow_dark_fixture/johannesburg_G0775_v3c_p0026.png,2026-05-13,,false
johannesburg_G0775_v3c_p0027,skylight_roof_window,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0027,"POLYGON ((28.047548532485962 -26.21667802333832, 28.047548532485962 -26.21645808219909, 28.047466725111008 -26.21645808219909, 28.047466725111008 -26.21667802333832, 28.047548532485962 -26.21667802333832))",previews/skylight_roof_window/johannesburg_G0775_v3c_p0027.png,2026-05-13,,false
johannesburg_G0775_v3c_p0042,pergola_carport_shadow,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0042,"POLYGON ((28.048256635665894 -26.217848807573322, 28.048256635665894 -26.217800527811047, 28.048172146081924 -26.217800527811047, 28.048172146081924 -26.217848807573322, 28.048256635665894 -26.217848807573322))",previews/pergola_carport_shadow/johannesburg_G0775_v3c_p0042.png,2026-05-13,,false
johannesburg_G0775_v3c_p0053,skylight_roof_window,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0053,"POLYGON ((28.044406324625015 -26.21957212686539, 28.044406324625015 -26.2195399403572, 28.04433524608612 -26.2195399403572, 28.04433524608612 -26.21957212686539, 28.044406324625015 -26.21957212686539))",previews/skylight_roof_window/johannesburg_G0775_v3c_p0053.png,2026-05-13,,false
johannesburg_G0775_v3c_p0056,skylight_roof_window,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0056,"POLYGON ((28.044398277997974 -26.219884604215615, 28.044398277997974 -26.219853758811944, 28.04432451725006 -26.219853758811944, 28.04432451725006 -26.219884604215615, 28.044398277997974 -26.219884604215615))",previews/skylight_roof_window/johannesburg_G0775_v3c_p0056.png,2026-05-13,,false
johannesburg_G0775_v3c_p0065,ground_road_marking,A2,johannesburg,geid_2024_02,G0775,v3c,cls_pv_thermal_v2,0065,"POLYGON ((28.045574426651 -26.22069194912911, 28.045574426651 -26.22052699327468, 28.04551810026169 -26.22052699327468, 28.04551810026169 -26.22069194912911, 28.045574426651 -26.22069194912911))",previews/ground_road_marking/johannesburg_G0775_v3c_p0065.png,2026-05-13,,false
johannesburg_G0776_v3c_p0008,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0008,"POLYGON ((28.057998418807983 -26.21484205126763, 28.057998418807983 -26.21478170156478, 28.05794477462769 -26.21478170156478, 28.05794477462769 -26.21484205126763, 28.057998418807983 -26.21484205126763))",previews/ground_road_marking/johannesburg_G0776_v3c_p0008.png,2026-05-13,,false
johannesburg_G0776_v3c_p0009,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0009,"POLYGON ((28.058101683855057 -26.214888989925388, 28.058101683855057 -26.214827299118042, 28.05804803967476 -26.214827299118042, 28.05804803967476 -26.214888989925388, 28.058101683855057 -26.214888989925388))",previews/ground_road_marking/johannesburg_G0776_v3c_p0009.png,2026-05-13,,false
johannesburg_G0776_v3c_p0010,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0010,"POLYGON ((28.058206290006638 -26.21493592858315, 28.058206290006638 -26.214871555566788, 28.058149963617325 -26.214871555566788, 28.058149963617325 -26.21493592858315, 28.058206290006638 -26.21493592858315))",previews/ground_road_marking/johannesburg_G0776_v3c_p0010.png,2026-05-13,,false
johannesburg_G0776_v3c_p0011,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0011,"POLYGON ((28.058618009090424 -26.21511429548264, 28.058618009090424 -26.215051263570775, 28.05856302380562 -26.215051263570775, 28.05856302380562 -26.21511429548264, 28.058618009090424 -26.21511429548264))",previews/ground_road_marking/johannesburg_G0776_v3c_p0011.png,2026-05-13,,false
johannesburg_G0776_v3c_p0012,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0012,"POLYGON ((28.05810570716858 -26.215353012084964, 28.05810570716858 -26.215288639068604, 28.05804803967476 -26.215288639068604, 28.05804803967476 -26.215353012084964, 28.05810570716858 -26.215353012084964))",previews/ground_road_marking/johannesburg_G0776_v3c_p0012.png,2026-05-13,,false
johannesburg_G0776_v3c_p0014,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0014,"POLYGON ((28.0584155023098 -26.215491145849235, 28.0584155023098 -26.215426772832867, 28.058359175920486 -26.215426772832867, 28.058359175920486 -26.215491145849235, 28.0584155023098 -26.215491145849235))",previews/ground_road_marking/johannesburg_G0776_v3c_p0014.png,2026-05-13,,false
johannesburg_G0776_v3c_p0015,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0015,"POLYGON ((28.06285858154297 -26.216108053922653, 28.06285858154297 -26.216054409742355, 28.062819689512256 -26.216054409742355, 28.062819689512256 -26.216108053922653, 28.06285858154297 -26.216108053922653))",previews/ground_road_marking/johannesburg_G0776_v3c_p0015.png,2026-05-13,,false
johannesburg_G0776_v3c_p0016,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0016,"POLYGON ((28.06279018521309 -26.216322630643848, 28.06279018521309 -26.216263622045513, 28.062723129987717 -26.216263622045513, 28.062723129987717 -26.216322630643848, 28.06279018521309 -26.216322630643848))",previews/ground_road_marking/johannesburg_G0776_v3c_p0016.png,2026-05-13,,false
johannesburg_G0776_v3c_p0017,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0017,"POLYGON ((28.06285858154297 -26.216399073600773, 28.06285858154297 -26.21634140610694, 28.062799572944645 -26.21634140610694, 28.062799572944645 -26.216399073600773, 28.06285858154297 -26.216399073600773))",previews/ground_road_marking/johannesburg_G0776_v3c_p0017.png,2026-05-13,,false
johannesburg_G0776_v3c_p0020,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0020,"POLYGON ((28.056579530239105 -26.217221170663837, 28.056579530239105 -26.217124611139294, 28.056385070085526 -26.217124611139294, 28.056385070085526 -26.217221170663837, 28.056579530239105 -26.217221170663837))",previews/corrugated_metal_roof/johannesburg_G0776_v3c_p0020.png,2026-05-13,,false
johannesburg_G0776_v3c_p0024,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0024,"POLYGON ((28.06206464767456 -26.21674239635467, 28.06206464767456 -26.21669813990593, 28.0620177090168 -26.21669813990593, 28.0620177090168 -26.21674239635467, 28.06206464767456 -26.21674239635467))",previews/ground_road_marking/johannesburg_G0776_v3c_p0024.png,2026-05-13,,false
johannesburg_G0776_v3c_p0025,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0025,"POLYGON ((28.06235432624817 -26.21679738163948, 28.06235432624817 -26.216743737459176, 28.062292635440826 -26.216743737459176, 28.062292635440826 -26.21679738163948, 28.06235432624817 -26.21679738163948))",previews/ground_road_marking/johannesburg_G0776_v3c_p0025.png,2026-05-13,,false
johannesburg_G0776_v3c_p0026,ground_road_marking,A2,johannesburg,geid_2024_02,G0776,v3c,cls_pv_thermal_v2,0026,"POLYGON ((28.06235298514366 -26.21705353260041, 28.06235298514366 -26.217010617256165, 28.062318116426468 -26.217010617256165, 28.062318116426468 -26.21705353260041, 28.06235298514366 -26.21705353260041))",previews/ground_road_marking/johannesburg_G0776_v3c_p0026.png,2026-05-13,,false
johannesburg_G0815_v3c_p0000,roof_shadow_dark_fixture,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0000,"POLYGON ((28.024897277355194 -26.20318651199341, 28.024897277355194 -26.203108727931966, 28.024871796369553 -26.203108727931966, 28.024871796369553 -26.20318651199341, 28.024897277355194 -26.20318651199341))",previews/roof_shadow_dark_fixture/johannesburg_G0815_v3c_p0000.png,2026-05-13,,false
johannesburg_G0815_v3c_p0011,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0011,"POLYGON ((28.027527183294296 -26.20349630713463, 28.027527183294296 -26.203342080116265, 28.02739441394806 -26.203342080116265, 28.02739441394806 -26.20349630713463, 28.027527183294296 -26.20349630713463))",previews/corrugated_metal_roof/johannesburg_G0815_v3c_p0011.png,2026-05-13,,false
johannesburg_G0815_v3c_p0020,ground_road_marking,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0020,"POLYGON ((28.024940192699436 -26.20598807930947, 28.024940192699436 -26.205868721008294, 28.02478864789009 -26.205868721008294, 28.02478864789009 -26.20598807930947, 28.024940192699436 -26.20598807930947))",previews/ground_road_marking/johannesburg_G0815_v3c_p0020.png,2026-05-13,,false
johannesburg_G0815_v3c_p0026,ground_road_marking,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0026,"POLYGON ((28.026620596647263 -26.205389946699146, 28.026620596647263 -26.20524644851684, 28.026540130376816 -26.20524644851684, 28.026540130376816 -26.205389946699146, 28.026620596647263 -26.205389946699146))",previews/ground_road_marking/johannesburg_G0815_v3c_p0026.png,2026-05-13,,false
johannesburg_G0815_v3c_p0031,other_unknown,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0031,"POLYGON ((28.027249574661255 -26.207134723663327, 28.027249574661255 -26.20700731873512, 28.027190566062927 -26.20700731873512, 28.027190566062927 -26.207134723663327, 28.027249574661255 -26.207134723663327))",previews/other_unknown/johannesburg_G0815_v3c_p0031.png,2026-05-13,,false
johannesburg_G0815_v3c_p0034,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0034,"POLYGON ((28.02577704191208 -26.207494139671322, 28.02577704191208 -26.207374781370156, 28.02566170692444 -26.207374781370156, 28.02566170692444 -26.207494139671322, 28.02577704191208 -26.207494139671322))",previews/corrugated_metal_roof/johannesburg_G0815_v3c_p0034.png,2026-05-13,,false
johannesburg_G0815_v3c_p0040,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0040,"POLYGON ((28.022492676973346 -26.21043920516968, 28.022492676973346 -26.20990946888923, 28.022346496582035 -26.20990946888923, 28.022346496582035 -26.21043920516968, 28.022492676973346 -26.21043920516968))",previews/corrugated_metal_roof/johannesburg_G0815_v3c_p0040.png,2026-05-13,,false
johannesburg_G0815_v3c_p0048,skylight_roof_window,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0048,"POLYGON ((28.026635348796844 -26.21087640523911, 28.026635348796844 -26.210840195417404, 28.02659511566162 -26.210840195417404, 28.02659511566162 -26.21087640523911, 28.026635348796844 -26.21087640523911))",previews/skylight_roof_window/johannesburg_G0815_v3c_p0048.png,2026-05-13,,false
johannesburg_G0815_v3c_p0050,skylight_roof_window,A2,johannesburg,geid_2024_02,G0815,v3c,cls_pv_thermal_v2,0050,"POLYGON ((28.026431500911713 -26.211277395486828, 28.026431500911713 -26.211238503456105, 28.026388585567474 -26.211238503456105, 28.026388585567474 -26.211277395486828, 28.026431500911713 -26.211277395486828))",previews/skylight_roof_window/johannesburg_G0815_v3c_p0050.png,2026-05-13,,false
johannesburg_G0816_v3c_p0000,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0816,v3c,cls_pv_thermal_v2,0000,"POLYGON ((28.03283929824829 -26.202524006366726, 28.03283929824829 -26.20245292782783, 28.032795041799545 -26.20245292782783, 28.032795041799545 -26.202524006366726, 28.03283929824829 -26.202524006366726))",previews/corrugated_metal_roof/johannesburg_G0816_v3c_p0000.png,2026-05-13,,false
johannesburg_G0816_v3c_p0010,skylight_roof_window,A2,johannesburg,geid_2024_02,G0816,v3c,cls_pv_thermal_v2,0010,"POLYGON ((28.035835325717926 -26.20286867022514, 28.035835325717926 -26.20276808738708, 28.035719990730286 -26.20276808738708, 28.035719990730286 -26.20286867022514, 28.035835325717926 -26.20286867022514))",previews/skylight_roof_window/johannesburg_G0816_v3c_p0010.png,2026-05-13,,false
johannesburg_G0816_v3c_p0011,skylight_roof_window,A2,johannesburg,geid_2024_02,G0816,v3c,cls_pv_thermal_v2,0011,"POLYGON ((28.036052584648132 -26.20352849364281, 28.036052584648132 -26.203285753726952, 28.035789728164673 -26.203285753726952, 28.035789728164673 -26.20352849364281, 28.036052584648132 -26.20352849364281))",previews/skylight_roof_window/johannesburg_G0816_v3c_p0011.png,2026-05-13,,false
