chip_filename,split,label,subtype,grid_id,detector,source_bucket
jhbcbd_v3c_G0772_p0022__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0026__hvac_rooftop_equipment.png,train,non_pv,hvac_rooftop_equipment,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0027__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0028__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0029__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0030__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0031__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0032__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0033__ground_road_marking.png,train,non_pv,ground_road_marking,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0034__ground_road_marking.png,train,non_pv,ground_road_marking,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0036__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0038__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0043__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0048__other_unknown.png,train,non_pv,other_unknown,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0055__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0004__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0005__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0006__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0007__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0008__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0024__ground_road_marking.png,train,non_pv,ground_road_marking,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0025__solar_thermal_water_heater.png,train,non_pv,solar_thermal_water_heater,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0773_p0027__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0773,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0001__other_unknown.png,train,non_pv,other_unknown,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0002__ground_road_marking.png,train,non_pv,ground_road_marking,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0003__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0004__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0005__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0007__pergola_carport_shadow.png,train,non_pv,pergola_carport_shadow,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0008__pergola_carport_shadow.png,train,non_pv,pergola_carport_shadow,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0011__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0022__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0023__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0024__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0025__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0026__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0027__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0033__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0034__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0035__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0036__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0042__pergola_carport_shadow.png,train,non_pv,pergola_carport_shadow,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0053__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0056__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0775_p0065__ground_road_marking.png,train,non_pv,ground_road_marking,G0775,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0008__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0009__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0010__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0011__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0012__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0014__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0015__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0016__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0017__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0020__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0024__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0025__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0776_p0026__ground_road_marking.png,train,non_pv,ground_road_marking,G0776,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0000__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0001__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0011__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0016__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0018__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0020__ground_road_marking.png,train,non_pv,ground_road_marking,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0026__ground_road_marking.png,train,non_pv,ground_road_marking,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0031__other_unknown.png,train,non_pv,other_unknown,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0034__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0036__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0039__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0040__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0041__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0042__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0046__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0048__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0049__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0815_p0050__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0815,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0000__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0006__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0010__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0011__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0020__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0022__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0023__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0024__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0025__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0026__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0032__ground_road_marking.png,train,non_pv,ground_road_marking,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0033__ground_road_marking.png,train,non_pv,ground_road_marking,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0034__hvac_rooftop_equipment.png,train,non_pv,hvac_rooftop_equipment,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0035__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0037__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0038__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0040__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0041__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0044__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0045__other_unknown.png,train,non_pv,other_unknown,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0048__hvac_rooftop_equipment.png,train,non_pv,hvac_rooftop_equipment,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0049__pergola_carport_shadow.png,train,non_pv,pergola_carport_shadow,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0050__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0057__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0060__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0816_p0073__ground_road_marking.png,train,non_pv,ground_road_marking,G0816,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0000__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0001__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0009__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0010__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0023__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0024__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0025__pergola_carport_shadow.png,train,non_pv,pergola_carport_shadow,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0026__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0027__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0028__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0029__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0038__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0042__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0043__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0044__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0047__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0049__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0055__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0057__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0058__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0059__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0060__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0068__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0817_p0069__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0817,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0000__hvac_rooftop_equipment.png,train,non_pv,hvac_rooftop_equipment,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0007__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0013__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0014__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0015__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0016__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0021__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0027__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0029__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0032__other_unknown.png,train,non_pv,other_unknown,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0037__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0818_p0049__ground_road_marking.png,train,non_pv,ground_road_marking,G0818,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0003__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0004__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0005__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0006__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0011__other_unknown.png,train,non_pv,other_unknown,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0012__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0013__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0014__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0015__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0017__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0018__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0020__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0023__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0024__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0025__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0026__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0027__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0028__skylight_roof_window.png,train,non_pv,skylight_roof_window,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0033__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0034__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0853_p0036__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0853,v3c,johannesburg:v3c_sam_mask_geid_2024_02
