chip_id,grid_id,detector,pred_idx,label,iou_to_gt,area_m2,source_detector,chip_path,split,dup_group_id,dup_size,is_canonical
v4_2_G0772_p0073,G0772,v4_2,73,pv,0.8852,23.703,both,chips/pv/v4_2_G0772_p0073.png,,,1,True
v3c_G0772_p0019,G0772,v3c,19,nonpv,0.0096,674.075,both,chips/nonpv/v3c_G0772_p0019.png,,,1,True
v3c_G0772_p0053,G0772,v3c,53,pv,0.3925,55.965,both,chips/pv/v3c_G0772_p0053.png,,,1,True
v4_2_G0772_p0016,G0772,v4_2,16,nonpv,0.0,145.272,v4_2,chips/nonpv/v4_2_G0772_p0016.png,,,1,True
v3c_G0772_p0020,G0772,v3c,20,nonpv,0.0,160.97,both,chips/nonpv/v3c_G0772_p0020.png,,,1,True
v4_2_G0772_p0074,G0772,v4_2,74,pv,0.3673,59.985,both,chips/pv/v4_2_G0772_p0074.png,,,1,True
v4_2_G0772_p0017,G0772,v4_2,17,nonpv,0.0,404.467,v4_2,chips/nonpv/v4_2_G0772_p0017.png,,,1,True
v3c_G0772_p0054,G0772,v3c,54,pv,0.969,33.177,v3c,chips/pv/v3c_G0772_p0054.png,,,1,True
v3c_G0772_p0056,G0772,v3c,56,pv,0.9494,27.683,both,chips/pv/v3c_G0772_p0056.png,,,1,True
v4_2_G0772_p0018,G0772,v4_2,18,nonpv,0.0,305.111,v4_2,chips/nonpv/v4_2_G0772_p0018.png,,,1,True
v4_2_G0772_p0085,G0772,v4_2,85,pv,0.9498,29.713,both,chips/pv/v4_2_G0772_p0085.png,,,1,True
v3c_G0772_p0021,G0772,v3c,21,nonpv,0.0,14.708,both,chips/nonpv/v3c_G0772_p0021.png,,,1,True
v3c_G0772_p0022,G0772,v3c,22,nonpv,0.0,18.788,both,chips/nonpv/v3c_G0772_p0022.png,,,1,True
v4_2_G0772_p0088,G0772,v4_2,88,pv,0.9099,1765.52,both,chips/pv/v4_2_G0772_p0088.png,,,1,True
v4_2_G0772_p0019,G0772,v4_2,19,nonpv,0.0,131.38,both,chips/nonpv/v4_2_G0772_p0019.png,,,1,True
v3c_G0772_p0058,G0772,v3c,58,pv,0.9608,1649.831,both,chips/pv/v3c_G0772_p0058.png,,,1,True
v3c_G0773_p0000,G0773,v3c,0,pv,0.5128,191.568,both,chips/pv/v3c_G0773_p0000.png,,g00019,2,False
v4_2_G0772_p0020,G0772,v4_2,20,nonpv,0.0,700.785,v4_2,chips/nonpv/v4_2_G0772_p0020.png,,,1,True
v4_2_G0773_p0003,G0773,v4_2,3,pv,0.418,235.036,both,chips/pv/v4_2_G0773_p0003.png,,g00019,2,False
v3c_G0772_p0023,G0772,v3c,23,nonpv,0.0,13.096,v3c,chips/nonpv/v3c_G0772_p0023.png,,,1,True
v3c_G0772_p0024,G0772,v3c,24,nonpv,0.0,8.677,v3c,chips/nonpv/v3c_G0772_p0024.png,,,1,True
v4_2_G0773_p0004,G0773,v4_2,4,pv,0.6889,179.805,both,chips/pv/v4_2_G0773_p0004.png,,g00020,2,False
v4_2_G0772_p0021,G0772,v4_2,21,nonpv,0.0,33.138,both,chips/nonpv/v4_2_G0772_p0021.png,,,1,True
v3c_G0773_p0001,G0773,v3c,1,pv,0.7774,158.568,both,chips/pv/v3c_G0773_p0001.png,,g00020,2,False
v3c_G0773_p0002,G0773,v3c,2,pv,0.7317,135.998,both,chips/pv/v3c_G0773_p0002.png,,g00021,2,False
v4_2_G0772_p0023,G0772,v4_2,23,nonpv,0.0,832.342,both,chips/nonpv/v4_2_G0772_p0023.png,,,1,True
v4_2_G0773_p0005,G0773,v4_2,5,pv,0.6161,164.778,both,chips/pv/v4_2_G0773_p0005.png,,g00021,2,False
v3c_G0772_p0025,G0772,v3c,25,nonpv,0.0,71.49,v3c,chips/nonpv/v3c_G0772_p0025.png,,,1,True
v3c_G0772_p0026,G0772,v3c,26,nonpv,0.0,11.563,both,chips/nonpv/v3c_G0772_p0026.png,,,1,True
v4_2_G0773_p0006,G0773,v4_2,6,pv,0.7973,132.972,both,chips/pv/v4_2_G0773_p0006.png,,g00022,2,False
v4_2_G0772_p0025,G0772,v4_2,25,nonpv,0.0,9.474,both,chips/nonpv/v4_2_G0772_p0025.png,,,1,True
v3c_G0773_p0003,G0773,v3c,3,pv,0.9431,110.9,both,chips/pv/v3c_G0773_p0003.png,,g00022,2,False
v3c_G0773_p0009,G0773,v3c,9,pv,0.8692,22.669,both,chips/pv/v3c_G0773_p0009.png,,,1,True
v4_2_G0772_p0026,G0772,v4_2,26,nonpv,0.0064,1014.645,both,chips/nonpv/v4_2_G0772_p0026.png,,,1,True
v4_2_G0773_p0015,G0773,v4_2,15,pv,0.7247,27.187,both,chips/pv/v4_2_G0773_p0015.png,,,1,True
v3c_G0772_p0027,G0772,v3c,27,nonpv,0.0,25.416,both,chips/nonpv/v3c_G0772_p0027.png,,,1,True
v3c_G0772_p0028,G0772,v3c,28,nonpv,0.0,33.258,both,chips/nonpv/v3c_G0772_p0028.png,,,1,True
v4_2_G0773_p0017,G0773,v4_2,17,pv,0.8432,4885.872,v4_2,chips/pv/v4_2_G0773_p0017.png,,,1,True
v4_2_G0772_p0027,G0772,v4_2,27,nonpv,0.0,111.294,both,chips/nonpv/v4_2_G0772_p0027.png,,,1,True
v3c_G0774_p0000,G0774,v3c,0,pv,0.6757,240.609,both,chips/pv/v3c_G0774_p0000.png,,g00019,2,True
v3c_G0774_p0001,G0774,v3c,1,pv,0.4209,262.681,both,chips/pv/v3c_G0774_p0001.png,,g00020,2,True
v4_2_G0772_p0028,G0772,v4_2,28,nonpv,0.0,17.295,both,chips/nonpv/v4_2_G0772_p0028.png,,,1,True
v4_2_G0774_p0000,G0774,v4_2,0,pv,0.5303,306.608,both,chips/pv/v4_2_G0774_p0000.png,,g00019,2,True
v3c_G0772_p0029,G0772,v3c,29,nonpv,0.0,464.946,both,chips/nonpv/v3c_G0772_p0029.png,,g00025,2,True
v3c_G0772_p0030,G0772,v3c,30,nonpv,0.0,178.945,both,chips/nonpv/v3c_G0772_p0030.png,,,1,True
v3c_G0774_p0002,G0774,v3c,2,pv,0.9593,68.526,both,chips/pv/v3c_G0774_p0002.png,,,1,True
v4_2_G0772_p0029,G0772,v4_2,29,nonpv,0.0,21.455,both,chips/nonpv/v4_2_G0772_p0029.png,,,1,True
v4_2_G0774_p0001,G0774,v4_2,1,pv,0.3779,293.153,both,chips/pv/v4_2_G0774_p0001.png,,g00020,2,True
v4_2_G0772_p0030,G0772,v4_2,30,nonpv,0.0,119.674,v4_2,chips/nonpv/v4_2_G0772_p0030.png,,,1,True
v3c_G0772_p0031,G0772,v3c,31,nonpv,0.0,360.397,both,chips/nonpv/v3c_G0772_p0031.png,,,1,True
v4_2_G0774_p0002,G0774,v4_2,2,pv,0.8652,76.03,both,chips/pv/v4_2_G0774_p0002.png,,,1,True
v3c_G0774_p0003,G0774,v3c,3,pv,0.9859,66.198,both,chips/pv/v3c_G0774_p0003.png,,,1,True
v4_2_G0772_p0031,G0772,v4_2,31,nonpv,0.0,6.15,v4_2,chips/nonpv/v4_2_G0772_p0031.png,,,1,True
v3c_G0772_p0032,G0772,v3c,32,nonpv,0.0,5.015,both,chips/nonpv/v3c_G0772_p0032.png,,,1,True
v4_2_G0774_p0003,G0774,v4_2,3,pv,0.3698,178.192,both,chips/pv/v4_2_G0774_p0003.png,,,1,True
v3c_G0774_p0004,G0774,v3c,4,pv,0.9541,68.487,both,chips/pv/v3c_G0774_p0004.png,,,1,True
v3c_G0774_p0005,G0774,v3c,5,pv,0.3107,369.302,both,chips/pv/v3c_G0774_p0005.png,,g00021,2,True
v4_2_G0772_p0032,G0772,v4_2,32,nonpv,0.0,42.512,v4_2,chips/nonpv/v4_2_G0772_p0032.png,,,1,True
v3c_G0772_p0033,G0772,v3c,33,nonpv,0.0,132.113,both,chips/nonpv/v3c_G0772_p0033.png,,,1,True
v4_2_G0774_p0004,G0774,v4_2,4,pv,0.273,422.284,both,chips/pv/v4_2_G0774_p0004.png,,g00021,2,True
v4_2_G0772_p0033,G0772,v4_2,33,nonpv,0.0,409.393,v4_2,chips/nonpv/v4_2_G0772_p0033.png,,,1,True
v3c_G0772_p0034,G0772,v3c,34,nonpv,0.0,120.987,both,chips/nonpv/v3c_G0772_p0034.png,,,1,True
v4_2_G0774_p0005,G0774,v4_2,5,pv,0.7749,481.277,both,chips/pv/v4_2_G0774_p0005.png,,,1,True
v3c_G0774_p0006,G0774,v3c,6,pv,0.9521,390.698,both,chips/pv/v3c_G0774_p0006.png,,,1,True
v3c_G0774_p0007,G0774,v3c,7,pv,0.2947,386.12,both,chips/pv/v3c_G0774_p0007.png,,g00022,2,True
v4_2_G0772_p0034,G0772,v4_2,34,nonpv,0.0,448.839,v4_2,chips/nonpv/v4_2_G0772_p0034.png,,,1,True
v3c_G0772_p0035,G0772,v3c,35,nonpv,0.0,70.176,v3c,chips/nonpv/v3c_G0772_p0035.png,,,1,True
v4_2_G0774_p0006,G0774,v4_2,6,pv,0.2663,433.27,both,chips/pv/v4_2_G0774_p0006.png,,g00022,2,True
v3c_G0774_p0009,G0774,v3c,9,pv,0.9597,291.341,both,chips/pv/v3c_G0774_p0009.png,,,1,True
v4_2_G0774_p0009,G0774,v4_2,9,pv,0.3355,841.222,both,chips/pv/v4_2_G0774_p0009.png,,,1,True
v3c_G0772_p0036,G0772,v3c,36,nonpv,0.0,5.613,both,chips/nonpv/v3c_G0772_p0036.png,,g00032,2,False
v4_2_G0772_p0035,G0772,v4_2,35,nonpv,0.0,12.598,both,chips/nonpv/v4_2_G0772_p0035.png,,,1,True
v4_2_G0774_p0030,G0774,v4_2,30,pv,0.6079,335.508,both,chips/pv/v4_2_G0774_p0030.png,,,1,True
v4_2_G0772_p0036,G0772,v4_2,36,nonpv,0.0,27.406,both,chips/nonpv/v4_2_G0772_p0036.png,,,1,True
v3c_G0774_p0023,G0774,v3c,23,pv,0.7164,284.237,both,chips/pv/v3c_G0774_p0023.png,,,1,True
v3c_G0772_p0037,G0772,v3c,37,nonpv,0.0,88.486,v3c,chips/nonpv/v3c_G0772_p0037.png,,,1,True
v3c_G0772_p0038,G0772,v3c,38,nonpv,0.0,214.885,both,chips/nonpv/v3c_G0772_p0038.png,,,1,True
v4_2_G0772_p0037,G0772,v4_2,37,nonpv,0.0,25.436,v4_2,chips/nonpv/v4_2_G0772_p0037.png,,,1,True
v4_2_G0774_p0031,G0774,v4_2,31,pv,0.771,1717.982,both,chips/pv/v4_2_G0774_p0031.png,,,1,True
v3c_G0774_p0024,G0774,v3c,24,pv,0.772,1403.373,both,chips/pv/v3c_G0774_p0024.png,,,1,True
v3c_G0774_p0028,G0774,v3c,28,pv,0.1836,204.584,both,chips/pv/v3c_G0774_p0028.png,,,1,True
v4_2_G0774_p0041,G0774,v4_2,41,pv,0.3138,386.378,both,chips/pv/v4_2_G0774_p0041.png,,,1,True
v4_2_G0772_p0038,G0772,v4_2,38,nonpv,0.0,25.336,v4_2,chips/nonpv/v4_2_G0772_p0038.png,,,1,True
v3c_G0772_p0043,G0772,v3c,43,nonpv,0.0,40.78,both,chips/nonpv/v3c_G0772_p0043.png,,,1,True
v3c_G0772_p0048,G0772,v3c,48,nonpv,0.0,29.057,both,chips/nonpv/v3c_G0772_p0048.png,,,1,True
v4_2_G0772_p0039,G0772,v4_2,39,nonpv,0.0,25.057,v4_2,chips/nonpv/v4_2_G0772_p0039.png,,,1,True
v4_2_G0774_p0042,G0774,v4_2,42,pv,0.8405,61.838,both,chips/pv/v4_2_G0774_p0042.png,,,1,True
v3c_G0774_p0029,G0774,v3c,29,pv,0.8577,59.908,both,chips/pv/v3c_G0774_p0029.png,,,1,True
v3c_G0774_p0031,G0774,v3c,31,pv,0.4012,375.21,v3c,chips/pv/v3c_G0774_p0031.png,,,1,True
v4_2_G0774_p0048,G0774,v4_2,48,pv,0.559,504.831,both,chips/pv/v4_2_G0774_p0048.png,,,1,True
v4_2_G0772_p0040,G0772,v4_2,40,nonpv,0.0,37.716,both,chips/nonpv/v4_2_G0772_p0040.png,,,1,True
v3c_G0772_p0050,G0772,v3c,50,nonpv,0.0,8.1,v3c,chips/nonpv/v3c_G0772_p0050.png,,,1,True
v3c_G0772_p0055,G0772,v3c,55,nonpv,0.0,27.186,both,chips/nonpv/v3c_G0772_p0055.png,,,1,True
v4_2_G0772_p0041,G0772,v4_2,41,nonpv,0.0,19.763,v4_2,chips/nonpv/v4_2_G0772_p0041.png,,,1,True
v4_2_G0774_p0050,G0774,v4_2,50,pv,0.8257,130.442,both,chips/pv/v4_2_G0774_p0050.png,,,1,True
v3c_G0774_p0033,G0774,v3c,33,pv,0.3975,371.01,v3c,chips/pv/v3c_G0774_p0033.png,,,1,True
v3c_G0774_p0035,G0774,v3c,35,pv,0.8309,172.06,v3c,chips/pv/v3c_G0774_p0035.png,,,1,True
v4_2_G0774_p0052,G0774,v4_2,52,pv,0.4281,283.97,both,chips/pv/v4_2_G0774_p0052.png,,,1,True
v4_2_G0772_p0042,G0772,v4_2,42,nonpv,0.0,31.387,v4_2,chips/nonpv/v4_2_G0772_p0042.png,,,1,True
v3c_G0772_p0057,G0772,v3c,57,nonpv,0.0,5.851,v3c,chips/nonpv/v3c_G0772_p0057.png,,,1,True
v3c_G0772_p0059,G0772,v3c,59,nonpv,0.0,6.01,v3c,chips/nonpv/v3c_G0772_p0059.png,,,1,True
v4_2_G0772_p0043,G0772,v4_2,43,nonpv,0.0,759.346,both,chips/nonpv/v4_2_G0772_p0043.png,,g00040,2,True
v4_2_G0774_p0053,G0774,v4_2,53,pv,0.4708,332.552,both,chips/pv/v4_2_G0774_p0053.png,,,1,True
v3c_G0774_p0039,G0774,v3c,39,pv,0.4036,348.857,v3c,chips/pv/v3c_G0774_p0039.png,,,1,True
v3c_G0774_p0042,G0774,v3c,42,pv,0.6416,170.866,v3c,chips/pv/v3c_G0774_p0042.png,,,1,True
v4_2_G0774_p0054,G0774,v4_2,54,pv,0.1574,6509.597,both,chips/pv/v4_2_G0774_p0054.png,,,1,True
v4_2_G0772_p0044,G0772,v4_2,44,nonpv,0.0,762.549,both,chips/nonpv/v4_2_G0772_p0044.png,,,1,True
v3c_G0772_p0060,G0772,v3c,60,nonpv,0.0,9.195,v3c,chips/nonpv/v3c_G0772_p0060.png,,,1,True
v3c_G0773_p0004,G0773,v3c,4,nonpv,0.0,136.535,both,chips/nonpv/v3c_G0773_p0004.png,,g00042,2,False
v4_2_G0772_p0045,G0772,v4_2,45,nonpv,0.0,259.709,v4_2,chips/nonpv/v4_2_G0772_p0045.png,,,1,True
v4_2_G0774_p0059,G0774,v4_2,59,pv,0.831,442.898,both,chips/pv/v4_2_G0774_p0059.png,,,1,True
v3c_G0774_p0044,G0774,v3c,44,pv,0.6438,161.591,v3c,chips/pv/v3c_G0774_p0044.png,,,1,True
v3c_G0774_p0045,G0774,v3c,45,pv,0.5474,160.098,v3c,chips/pv/v3c_G0774_p0045.png,,,1,True
v4_2_G0774_p0062,G0774,v4_2,62,pv,0.1925,86.438,both,chips/pv/v4_2_G0774_p0062.png,,,1,True
v4_2_G0772_p0046,G0772,v4_2,46,nonpv,0.0,6.568,both,chips/nonpv/v4_2_G0772_p0046.png,,g00043,2,True
v3c_G0773_p0005,G0773,v3c,5,nonpv,0.0358,207.209,both,chips/nonpv/v3c_G0773_p0005.png,,g00043,2,True
v3c_G0773_p0006,G0773,v3c,6,nonpv,0.0216,123.08,both,chips/nonpv/v3c_G0773_p0006.png,,,1,True
v4_2_G0772_p0047,G0772,v4_2,47,nonpv,0.0,264.167,v4_2,chips/nonpv/v4_2_G0772_p0047.png,,,1,True
v4_2_G0774_p0065,G0774,v4_2,65,pv,0.8805,1101.536,both,chips/pv/v4_2_G0774_p0065.png,,,1,True
v3c_G0774_p0046,G0774,v3c,46,pv,0.7478,375.304,both,chips/pv/v3c_G0774_p0046.png,,,1,True
v3c_G0774_p0048,G0774,v3c,48,pv,0.7966,36.382,both,chips/pv/v3c_G0774_p0048.png,,,1,True
v4_2_G0774_p0067,G0774,v4_2,67,pv,0.7561,25.177,both,chips/pv/v4_2_G0774_p0067.png,,,1,True
v4_2_G0772_p0048,G0772,v4_2,48,nonpv,0.0,225.536,v4_2,chips/nonpv/v4_2_G0772_p0048.png,,,1,True
v3c_G0773_p0007,G0773,v3c,7,nonpv,0.0,141.17,both,chips/nonpv/v3c_G0773_p0007.png,,g00025,2,False
v3c_G0773_p0008,G0773,v3c,8,nonpv,0.0,5.752,both,chips/nonpv/v3c_G0773_p0008.png,,g00032,2,True
v4_2_G0772_p0049,G0772,v4_2,49,nonpv,0.0,165.709,both,chips/nonpv/v4_2_G0772_p0049.png,,,1,True
v4_2_G0774_p0068,G0774,v4_2,68,pv,0.8001,257.799,both,chips/pv/v4_2_G0774_p0068.png,,,1,True
v3c_G0774_p0049,G0774,v3c,49,pv,0.8644,122.68,both,chips/pv/v3c_G0774_p0049.png,,,1,True
v3c_G0774_p0050,G0774,v3c,50,pv,0.3848,218.928,both,chips/pv/v3c_G0774_p0050.png,,,1,True
v4_2_G0774_p0069,G0774,v4_2,69,pv,0.25,77.222,both,chips/pv/v4_2_G0774_p0069.png,,,1,True
v3c_G0773_p0010,G0773,v3c,10,nonpv,0.0,89.502,v3c,chips/nonpv/v3c_G0773_p0010.png,,,1,True
v4_2_G0772_p0050,G0772,v4_2,50,nonpv,0.0,266.634,both,chips/nonpv/v4_2_G0772_p0050.png,,,1,True
v4_2_G0772_p0051,G0772,v4_2,51,nonpv,0.0,6.866,both,chips/nonpv/v4_2_G0772_p0051.png,,g00048,2,True
v3c_G0774_p0051,G0774,v3c,51,pv,0.8002,377.373,both,chips/pv/v3c_G0774_p0051.png,,,1,True
v3c_G0773_p0011,G0773,v3c,11,nonpv,0.0413,235.61,v3c,chips/nonpv/v3c_G0773_p0011.png,,,1,True
v4_2_G0774_p0070,G0774,v4_2,70,pv,0.1849,2829.895,both,chips/pv/v4_2_G0774_p0070.png,,,1,True
v3c_G0774_p0052,G0774,v3c,52,pv,0.8505,45.617,both,chips/pv/v3c_G0774_p0052.png,,,1,True
v4_2_G0772_p0052,G0772,v4_2,52,nonpv,0.0,256.125,v4_2,chips/nonpv/v4_2_G0772_p0052.png,,g00049,2,False
v4_2_G0774_p0071,G0774,v4_2,71,pv,0.6798,1886.808,both,chips/pv/v4_2_G0774_p0071.png,,,1,True
v3c_G0773_p0012,G0773,v3c,12,nonpv,0.0326,185.276,v3c,chips/nonpv/v3c_G0773_p0012.png,,g00049,2,True
v3c_G0773_p0013,G0773,v3c,13,nonpv,0.0672,383.011,v3c,chips/nonpv/v3c_G0773_p0013.png,,,1,True
v3c_G0774_p0053,G0774,v3c,53,pv,0.4579,2226.006,both,chips/pv/v3c_G0774_p0053.png,,,1,True
v4_2_G0772_p0053,G0772,v4_2,53,nonpv,0.0,318.658,v4_2,chips/nonpv/v4_2_G0772_p0053.png,,,1,True
v4_2_G0774_p0072,G0774,v4_2,72,pv,0.7099,60.981,both,chips/pv/v4_2_G0774_p0072.png,,,1,True
v4_2_G0774_p0073,G0774,v4_2,73,pv,0.7923,260.465,both,chips/pv/v4_2_G0774_p0073.png,,,1,True
v3c_G0773_p0014,G0773,v3c,14,nonpv,0.03,170.727,v3c,chips/nonpv/v3c_G0773_p0014.png,,,1,True
v3c_G0774_p0054,G0774,v3c,54,pv,0.6595,223.924,both,chips/pv/v3c_G0774_p0054.png,,,1,True
v4_2_G0772_p0054,G0772,v4_2,54,nonpv,0.0,221.433,both,chips/nonpv/v4_2_G0772_p0054.png,,,1,True
v4_2_G0772_p0060,G0772,v4_2,60,nonpv,0.0,20.2,v4_2,chips/nonpv/v4_2_G0772_p0060.png,,,1,True
