chip_id,detector,source_detector,grid_id,pred_idx,iou_to_gt,area_m2,human_label
v3c_G0773_p0025,v3c,both,G0773,25,0.0,20.221,
v3c_G0773_p0027,v3c,both,G0773,27,0.0,19.882,
v3c_G0774_p0008,v3c,both,G0774,8,0.0,144.158,
v3c_G0774_p0010,v3c,both,G0774,10,0.0,736.958,
v3c_G0774_p0011,v3c,both,G0774,11,0.0,19.644,
v3c_G0774_p0012,v3c,both,G0774,12,0.0,18.729,
v3c_G0774_p0013,v3c,both,G0774,13,0.0,19.644,
v3c_G0774_p0014,v3c,both,G0774,14,0.0,18.211,
v3c_G0774_p0015,v3c,both,G0774,15,0.0,19.127,
v3c_G0774_p0016,v3c,both,G0774,16,0.0,19.704,
v3c_G0774_p0017,v3c,both,G0774,17,0.0,20.6,
v3c_G0774_p0018,v3c,both,G0774,18,0.0,16.619,
v3c_G0774_p0019,v3c,both,G0774,19,0.0,2393.589,
v3c_G0774_p0020,v3c,both,G0774,20,0.0,21.038,
v3c_G0774_p0021,v3c,both,G0774,21,0.0,8.439,
v3c_G0774_p0022,v3c,both,G0774,22,0.0,123.022,
v3c_G0774_p0025,v3c,both,G0774,25,0.0,19.027,
v3c_G0774_p0026,v3c,both,G0774,26,0.0,19.286,
v3c_G0774_p0030,v3c,both,G0774,30,0.0,185.734,
v3c_G0774_p0032,v3c,both,G0774,32,0.0,152.576,
v3c_G0774_p0034,v3c,both,G0774,34,0.0,137.827,
v3c_G0774_p0036,v3c,both,G0774,36,0.0,138.703,
v3c_G0774_p0037,v3c,both,G0774,37,0.0,126.403,
v3c_G0774_p0038,v3c,both,G0774,38,0.0,98.997,
v3c_G0774_p0040,v3c,both,G0774,40,0.0,96.33,
v3c_G0774_p0041,v3c,both,G0774,41,0.0,118.959,
v3c_G0774_p0043,v3c,both,G0774,43,0.0,90.538,
v3c_G0774_p0047,v3c,both,G0774,47,0.0,89.044,
v3c_G0774_p0058,v3c,both,G0774,58,0.0,11.524,
v3c_G0774_p0059,v3c,both,G0774,59,0.0,191.147,
v3c_G0774_p0060,v3c,both,G0774,60,0.0,4.836,
v3c_G0774_p0086,v3c,both,G0774,86,0.0,36.98,
v3c_G0774_p0090,v3c,both,G0774,90,0.0,20.818,
v3c_G0774_p0099,v3c,both,G0774,99,0.0,15.922,
v3c_G0774_p0100,v3c,both,G0774,100,0.0,12.459,
v3c_G0774_p0113,v3c,both,G0774,113,0.0,74.575,
v3c_G0774_p0116,v3c,both,G0774,116,0.0,17.335,
v3c_G0774_p0117,v3c,both,G0774,117,0.0,16.738,
v3c_G0774_p0119,v3c,both,G0774,119,0.0,15.126,
v3c_G0774_p0120,v3c,both,G0774,120,0.0,7.045,
v3c_G0774_p0123,v3c,both,G0774,123,0.0,14.11,
v3c_G0775_p0001,v3c,both,G0775,1,0.0,5.772,
v3c_G0775_p0002,v3c,both,G0775,2,0.0,101.328,
v3c_G0775_p0003,v3c,both,G0775,3,0.0,50.773,
v3c_G0775_p0004,v3c,both,G0775,4,0.0,102.423,
v3c_G0775_p0005,v3c,both,G0775,5,0.0,15.604,
v3c_G0775_p0007,v3c,both,G0775,7,0.0,48.584,
v3c_G0775_p0008,v3c,both,G0775,8,0.0,48.505,
v3c_G0775_p0011,v3c,both,G0775,11,0.0,32.86,
v3c_G0775_p0022,v3c,both,G0775,22,0.0,185.714,
v3c_G0775_p0023,v3c,both,G0775,23,0.0,5.513,
v3c_G0775_p0024,v3c,both,G0775,24,0.0,21.694,
v3c_G0775_p0025,v3c,both,G0775,25,0.0,9.195,
v3c_G0775_p0026,v3c,both,G0775,26,0.0,40.064,
v3c_G0775_p0027,v3c,both,G0775,27,0.0,158.405,
v3c_G0775_p0033,v3c,both,G0775,33,0.0,13.613,
v3c_G0775_p0034,v3c,both,G0775,34,0.0,206.546,
v3c_G0775_p0035,v3c,both,G0775,35,0.0,17.116,
v3c_G0775_p0036,v3c,both,G0775,36,0.0,192.395,
v3c_G0775_p0042,v3c,both,G0775,42,0.0,43.268,
v3c_G0775_p0053,v3c,both,G0775,53,0.0,23.604,
v3c_G0775_p0056,v3c,both,G0775,56,0.0,23.684,
v3c_G0775_p0065,v3c,both,G0775,65,0.0,94.375,
v3c_G0776_p0008,v3c,both,G0776,8,0.0,20.739,
v3c_G0776_p0009,v3c,both,G0776,9,0.0,23.147,
v3c_G0776_p0010,v3c,both,G0776,10,0.0,24.222,
v3c_G0776_p0011,v3c,both,G0776,11,0.0,24.142,
v3c_G0776_p0012,v3c,both,G0776,12,0.0,26.849,
v3c_G0776_p0014,v3c,both,G0776,14,0.0,24.919,
v3c_G0776_p0015,v3c,both,G0776,15,0.0,13.574,
v3c_G0776_p0016,v3c,both,G0776,16,0.0,22.749,
v3c_G0776_p0017,v3c,both,G0776,17,0.0,21.216,
v3c_G0776_p0020,v3c,both,G0776,20,0.0,171.044,
v3c_G0776_p0024,v3c,both,G0776,24,0.0,12.837,
v3c_G0776_p0025,v3c,both,G0776,25,0.0,19.803,
v3c_G0776_p0026,v3c,both,G0776,26,0.0,9.971,
v3c_G0814_p0003,v3c,both,G0814,3,0.0,47.293,
v3c_G0814_p0005,v3c,both,G0814,5,0.0,43.113,
v3c_G0814_p0009,v3c,both,G0814,9,0.0,13.157,
v3c_G0814_p0011,v3c,both,G0814,11,0.0,259.796,
v3c_G0814_p0013,v3c,both,G0814,13,0.0,21.795,
v3c_G0814_p0014,v3c,both,G0814,14,0.0,34.434,
v3c_G0814_p0015,v3c,both,G0814,15,0.0,39.032,
v3c_G0814_p0016,v3c,both,G0814,16,0.0,30.215,
v3c_G0814_p0017,v3c,both,G0814,17,0.0,13.256,
v3c_G0814_p0018,v3c,both,G0814,18,0.0,16.739,
v3c_G0814_p0019,v3c,both,G0814,19,0.0,50.596,
v3c_G0814_p0021,v3c,both,G0814,21,0.0,21.536,
v3c_G0814_p0023,v3c,both,G0814,23,0.0,6.31,
v3c_G0814_p0026,v3c,both,G0814,26,0.0,24.561,
v3c_G0814_p0037,v3c,both,G0814,37,0.0,49.84,
v3c_G0814_p0047,v3c,both,G0814,47,0.0,60.486,
v3c_G0814_p0052,v3c,both,G0814,52,0.0,49.401,
v3c_G0814_p0061,v3c,both,G0814,61,0.0,33.159,
v3c_G0814_p0074,v3c,both,G0814,74,0.0,79.912,
v3c_G0814_p0077,v3c,both,G0814,77,0.0,21.356,
v3c_G0814_p0081,v3c,both,G0814,81,0.0,83.276,
v3c_G0815_p0000,v3c,both,G0815,0,0.0,15.008,
v3c_G0815_p0001,v3c,both,G0815,1,0.0,12.779,
v3c_G0815_p0011,v3c,both,G0815,11,0.0,191.483,
v3c_G0815_p0016,v3c,both,G0815,16,0.0,28.285,
v3c_G0815_p0018,v3c,both,G0815,18,0.0,8.459,
v3c_G0815_p0020,v3c,both,G0815,20,0.0,148.287,
v3c_G0815_p0026,v3c,both,G0815,26,0.0,98.945,
v3c_G0815_p0031,v3c,both,G0815,31,0.0,64.629,
v3c_G0815_p0034,v3c,both,G0815,34,0.0,97.072,
v3c_G0815_p0036,v3c,both,G0815,36,0.0,9.912,
v3c_G0815_p0039,v3c,both,G0815,39,0.0,45.44,
v3c_G0815_p0040,v3c,both,G0815,40,0.0,742.6,
v3c_G0815_p0041,v3c,both,G0815,41,0.0,12.301,
v3c_G0815_p0042,v3c,both,G0815,42,0.0981,4.697,
v3c_G0815_p0046,v3c,both,G0815,46,0.0,16.5,
v3c_G0815_p0048,v3c,both,G0815,48,0.0,12.858,
v3c_G0815_p0049,v3c,both,G0815,49,0.0,21.894,
v3c_G0815_p0050,v3c,both,G0815,50,0.0,13.455,
v3c_G0816_p0000,v3c,both,G0816,0,0.0,28.962,
v3c_G0816_p0006,v3c,both,G0816,6,0.0,67.537,
v3c_G0816_p0010,v3c,both,G0816,10,0.0,93.911,
v3c_G0816_p0011,v3c,both,G0816,11,0.0,576.562,
v3c_G0816_p0020,v3c,both,G0816,20,0.0,18.611,
v3c_G0816_p0022,v3c,both,G0816,22,0.0,13.814,
v3c_G0816_p0023,v3c,both,G0816,23,0.0,36.604,
v3c_G0816_p0024,v3c,both,G0816,24,0.0,109.536,
v3c_G0816_p0025,v3c,both,G0816,25,0.0,76.474,
v3c_G0816_p0026,v3c,both,G0816,26,0.0,93.233,
v3c_G0816_p0032,v3c,both,G0816,32,0.0,104.735,
v3c_G0816_p0033,v3c,both,G0816,33,0.0,271.013,
v3c_G0816_p0034,v3c,both,G0816,34,0.0,48.169,
v3c_G0816_p0035,v3c,both,G0816,35,0.0,18.65,
v3c_G0816_p0037,v3c,both,G0816,37,0.0,746.863,
v3c_G0816_p0038,v3c,both,G0816,38,0.0,92.654,
v3c_G0816_p0040,v3c,both,G0816,40,0.0,42.994,
v3c_G0816_p0041,v3c,both,G0816,41,0.0,261.263,
v3c_G0816_p0044,v3c,both,G0816,44,0.0,235.9,
v3c_G0816_p0045,v3c,both,G0816,45,0.0,4.638,
v3c_G0816_p0048,v3c,both,G0816,48,0.0,9.753,
v3c_G0816_p0049,v3c,both,G0816,49,0.0,274.036,
v3c_G0816_p0050,v3c,both,G0816,50,0.0,259.625,
v3c_G0816_p0057,v3c,both,G0816,57,0.0,66.439,
v3c_G0816_p0060,v3c,both,G0816,60,0.0,16.043,
v3c_G0816_p0073,v3c,both,G0816,73,0.0,235.778,
v3c_G0817_p0000,v3c,both,G0817,0,0.0,109.795,
v3c_G0817_p0001,v3c,both,G0817,1,0.0,81.251,
v3c_G0817_p0009,v3c,both,G0817,9,0.0,25.339,
v3c_G0817_p0010,v3c,both,G0817,10,0.0,14.909,
v3c_G0817_p0023,v3c,both,G0817,23,0.0,16.063,
v3c_G0817_p0024,v3c,both,G0817,24,0.0,47.433,
v3c_G0817_p0025,v3c,both,G0817,25,0.0,18.312,
v3c_G0817_p0026,v3c,both,G0817,26,0.0,753.129,
v3c_G0817_p0027,v3c,both,G0817,27,0.0,345.523,
v3c_G0817_p0028,v3c,both,G0817,28,0.0,18.073,
v3c_G0817_p0029,v3c,both,G0817,29,0.0,19.108,
v3c_G0817_p0038,v3c,both,G0817,38,0.0263,1428.154,
v3c_G0817_p0042,v3c,both,G0817,42,0.0,220.499,
v3c_G0817_p0043,v3c,both,G0817,43,0.0,29.26,
v3c_G0817_p0044,v3c,both,G0817,44,0.0,17.257,
v3c_G0817_p0047,v3c,both,G0817,47,0.0,40.664,
v3c_G0817_p0049,v3c,both,G0817,49,0.0,15.684,
v3c_G0817_p0055,v3c,both,G0817,55,0.0,9.992,
v3c_G0817_p0057,v3c,both,G0817,57,0.0,63.872,
v3c_G0817_p0058,v3c,both,G0817,58,0.0,182.956,
v3c_G0817_p0059,v3c,both,G0817,59,0.0,16.341,
v3c_G0817_p0060,v3c,both,G0817,60,0.0,11.067,
v3c_G0817_p0068,v3c,both,G0817,68,0.0845,445.979,
v3c_G0817_p0069,v3c,both,G0817,69,0.0615,136.996,
v3c_G0818_p0000,v3c,both,G0818,0,0.0,365.856,
v3c_G0818_p0007,v3c,both,G0818,7,0.0,8.32,
v3c_G0818_p0013,v3c,both,G0818,13,0.0,112.482,
v3c_G0818_p0014,v3c,both,G0818,14,0.0,21.179,
v3c_G0818_p0015,v3c,both,G0818,15,0.0,22.433,
v3c_G0818_p0016,v3c,both,G0818,16,0.0,28.703,
v3c_G0818_p0021,v3c,both,G0818,21,0.0,56.29,
v3c_G0818_p0027,v3c,both,G0818,27,0.0533,7.106,
v3c_G0818_p0029,v3c,both,G0818,29,0.0,27.21,
v3c_G0818_p0032,v3c,both,G0818,32,0.0,5.056,
v3c_G0818_p0037,v3c,both,G0818,37,0.0,224.26,
v3c_G0818_p0049,v3c,both,G0818,49,0.0,26.472,
v3c_G0853_p0003,v3c,both,G0853,3,0.0,21.976,
v3c_G0853_p0004,v3c,both,G0853,4,0.0,36.726,
v3c_G0853_p0005,v3c,both,G0853,5,0.0,28.147,
v3c_G0853_p0006,v3c,both,G0853,6,0.0,18.034,
v3c_G0853_p0011,v3c,both,G0853,11,0.0,17.537,
v3c_G0853_p0012,v3c,both,G0853,12,0.0,35.432,
v3c_G0853_p0013,v3c,both,G0853,13,0.0,35.612,
v3c_G0853_p0014,v3c,both,G0853,14,0.0,34.795,
v3c_G0853_p0015,v3c,both,G0853,15,0.0,35.134,
v3c_G0853_p0017,v3c,both,G0853,17,0.0,36.607,
v3c_G0853_p0018,v3c,both,G0853,18,0.0,36.686,
v3c_G0853_p0020,v3c,both,G0853,20,0.0,35.85,
v3c_G0853_p0023,v3c,both,G0853,23,0.0,299.34,
v3c_G0853_p0024,v3c,both,G0853,24,0.0,12.102,
v3c_G0853_p0025,v3c,both,G0853,25,0.0,10.55,
v3c_G0853_p0026,v3c,both,G0853,26,0.0,11.028,
v3c_G0853_p0027,v3c,both,G0853,27,0.0,71.181,
v3c_G0853_p0028,v3c,both,G0853,28,0.0,14.989,
v3c_G0853_p0033,v3c,both,G0853,33,0.0,24.145,
v3c_G0853_p0034,v3c,both,G0853,34,0.0,31.948,
v3c_G0853_p0036,v3c,both,G0853,36,0.0,15.426,
v3c_G0853_p0037,v3c,both,G0853,37,0.0,17.556,
v3c_G0853_p0038,v3c,both,G0853,38,0.0,113.955,
v3c_G0853_p0046,v3c,both,G0853,46,0.0,256.154,
v3c_G0854_p0007,v3c,both,G0854,7,0.0,35.214,
v3c_G0854_p0015,v3c,both,G0854,15,0.0,29.958,
v3c_G0854_p0017,v3c,both,G0854,17,0.0,42.697,
v3c_G0854_p0018,v3c,both,G0854,18,0.0,43.612,
v3c_G0854_p0019,v3c,both,G0854,19,0.0,43.354,
v3c_G0854_p0021,v3c,both,G0854,21,0.0,25.877,
v3c_G0854_p0022,v3c,both,G0854,22,0.0,44.05,
v3c_G0854_p0023,v3c,both,G0854,23,0.0,31.49,
v3c_G0854_p0024,v3c,both,G0854,24,0.0,11.485,
v3c_G0854_p0034,v3c,both,G0854,34,0.0353,350.333,
v3c_G0855_p0004,v3c,both,G0855,4,0.0,95.551,
v3c_G0855_p0005,v3c,both,G0855,5,0.0,24.764,
v3c_G0855_p0007,v3c,both,G0855,7,0.0,53.19,
v3c_G0855_p0016,v3c,both,G0855,16,0.0,17.538,
v3c_G0855_p0017,v3c,both,G0855,17,0.0,133.113,
v3c_G0855_p0018,v3c,both,G0855,18,0.0,155.267,
v3c_G0855_p0020,v3c,both,G0855,20,0.0,75.284,
v3c_G0855_p0021,v3c,both,G0855,21,0.0,325.181,
v3c_G0855_p0022,v3c,both,G0855,22,0.0,96.96,
v3c_G0855_p0041,v3c,both,G0855,41,0.0,20.025,
v3c_G0855_p0042,v3c,both,G0855,42,0.0,31.012,
v3c_G0855_p0053,v3c,both,G0855,53,0.0,25.498,
v3c_G0856_p0000,v3c,both,G0856,0,0.0,37.205,
v3c_G0856_p0001,v3c,both,G0856,1,0.0,182.877,
v3c_G0856_p0006,v3c,both,G0856,6,0.0,38.08,
v3c_G0856_p0007,v3c,both,G0856,7,0.0,28.565,
v3c_G0856_p0013,v3c,both,G0856,13,0.0,121.745,
v3c_G0856_p0018,v3c,both,G0856,18,0.0,25.32,
v3c_G0856_p0019,v3c,both,G0856,19,0.0,95.247,
v3c_G0856_p0021,v3c,both,G0856,21,0.0,233.012,
v3c_G0856_p0022,v3c,both,G0856,22,0.0,98.093,
v3c_G0856_p0023,v3c,both,G0856,23,0.0,19.05,
v3c_G0856_p0025,v3c,both,G0856,25,0.0,20.821,
v3c_G0856_p0026,v3c,both,G0856,26,0.0,62.423,
v3c_G0856_p0027,v3c,both,G0856,27,0.0,114.595,
v3c_G0856_p0028,v3c,both,G0856,28,0.0,20.005,
v3c_G0856_p0036,v3c,both,G0856,36,0.0,16.123,
v3c_G0857_p0000,v3c,both,G0857,0,0.0,54.146,
v3c_G0857_p0001,v3c,both,G0857,1,0.0,54.504,
v3c_G0857_p0002,v3c,both,G0857,2,0.0,54.644,
v3c_G0857_p0006,v3c,both,G0857,6,0.0,14.512,
v3c_G0857_p0007,v3c,both,G0857,7,0.0,38.221,
v3c_G0857_p0009,v3c,both,G0857,9,0.0,7.425,
v3c_G0857_p0010,v3c,both,G0857,10,0.0,8.5,
v3c_G0857_p0019,v3c,both,G0857,19,0.0,194.441,
v3c_G0857_p0020,v3c,both,G0857,20,0.0,296.916,
v3c_G0857_p0025,v3c,both,G0857,25,0.0,18.513,
v3c_G0857_p0026,v3c,both,G0857,26,0.0,91.985,
v3c_G0857_p0027,v3c,both,G0857,27,0.0,48.909,
v3c_G0857_p0031,v3c,both,G0857,31,0.0,8.818,
v3c_G0857_p0033,v3c,both,G0857,33,0.0,8.719,
v3c_G0857_p0035,v3c,both,G0857,35,0.0,14.332,
v3c_G0857_p0037,v3c,both,G0857,37,0.0,306.945,
v3c_G0857_p0038,v3c,both,G0857,38,0.0,242.468,
v3c_G0857_p0041,v3c,both,G0857,41,0.0,94.95,
v3c_G0857_p0042,v3c,both,G0857,42,0.0,12.62,
v3c_G0857_p0044,v3c,both,G0857,44,0.0,20.503,
v3c_G0857_p0045,v3c,both,G0857,45,0.0,19.189,
v3c_G0857_p0046,v3c,both,G0857,46,0.0,101.02,
v3c_G0857_p0047,v3c,both,G0857,47,0.0,21.159,
v3c_G0857_p0048,v3c,both,G0857,48,0.0,472.906,
v3c_G0857_p0052,v3c,both,G0857,52,0.0,226.822,
v3c_G0857_p0053,v3c,both,G0857,53,0.0,59.557,
v3c_G0857_p0054,v3c,both,G0857,54,0.0,119.531,
v3c_G0888_p0005,v3c,both,G0888,5,0.0,149.962,
v3c_G0888_p0009,v3c,both,G0888,9,0.0,26.437,
v3c_G0888_p0017,v3c,both,G0888,17,0.0,28.926,
v3c_G0888_p0022,v3c,both,G0888,22,0.0,42.781,
v3c_G0888_p0025,v3c,both,G0888,25,0.0,23.829,
v3c_G0888_p0026,v3c,both,G0888,26,0.0,17.24,
v3c_G0888_p0027,v3c,both,G0888,27,0.0,194.833,
v3c_G0888_p0028,v3c,both,G0888,28,0.0,150.32,
v3c_G0888_p0038,v3c,both,G0888,38,0.0,9.974,
v3c_G0888_p0039,v3c,both,G0888,39,0.0,130.652,
v3c_G0888_p0040,v3c,both,G0888,40,0.0,24.108,
v3c_G0888_p0044,v3c,both,G0888,44,0.0,11.964,
v3c_G0888_p0046,v3c,both,G0888,46,0.0,226.005,
v3c_G0888_p0049,v3c,both,G0888,49,0.0,19.349,
v3c_G0888_p0050,v3c,both,G0888,50,0.0,126.448,
v3c_G0888_p0051,v3c,both,G0888,51,0.0,114.383,
v3c_G0888_p0052,v3c,both,G0888,52,0.0,24.604,
v3c_G0888_p0053,v3c,both,G0888,53,0.0,42.5,
v3c_G0889_p0000,v3c,both,G0889,0,0.0,12.701,
v3c_G0889_p0004,v3c,both,G0889,4,0.0989,956.796,
v3c_G0889_p0005,v3c,both,G0889,5,0.0,23.013,
v3c_G0889_p0013,v3c,both,G0889,13,0.0455,368.015,
v3c_G0889_p0014,v3c,both,G0889,14,0.0,7.107,
v3c_G0889_p0015,v3c,both,G0889,15,0.0,148.726,
v3c_G0889_p0016,v3c,both,G0889,16,0.0,146.019,
v3c_G0889_p0017,v3c,both,G0889,17,0.0,31.493,
v3c_G0889_p0018,v3c,both,G0889,18,0.0,34.479,
v3c_G0889_p0027,v3c,both,G0889,27,0.0,9.734,
v3c_G0889_p0031,v3c,both,G0889,31,0.0,56.057,
v3c_G0889_p0033,v3c,both,G0889,33,0.0,64.339,
v3c_G0889_p0034,v3c,both,G0889,34,0.0,161.326,
v3c_G0889_p0043,v3c,both,G0889,43,0.0,87.25,
v3c_G0889_p0046,v3c,both,G0889,46,0.0,22.415,
v3c_G0889_p0048,v3c,both,G0889,48,0.0,35.255,
v3c_G0889_p0049,v3c,both,G0889,49,0.0,7.943,
v3c_G0889_p0050,v3c,both,G0889,50,0.0,249.849,
v3c_G0889_p0052,v3c,both,G0889,52,0.0,29.283,
v3c_G0889_p0059,v3c,both,G0889,59,0.0,32.547,
v3c_G0889_p0062,v3c,both,G0889,62,0.0,87.788,
v3c_G0889_p0076,v3c,both,G0889,76,0.0,25.361,
v3c_G0890_p0007,v3c,both,G0890,7,0.0,256.649,
v3c_G0890_p0009,v3c,both,G0890,9,0.0,259.854,
v3c_G0890_p0010,v3c,both,G0890,10,0.0,25.701,
v3c_G0890_p0015,v3c,both,G0890,15,0.0,25.78,
v3c_G0890_p0016,v3c,both,G0890,16,0.0,215.057,
v3c_G0890_p0017,v3c,both,G0890,17,0.0,63.404,
v3c_G0890_p0018,v3c,both,G0890,18,0.0,221.984,
v3c_G0890_p0020,v3c,both,G0890,20,0.0,46.862,
v3c_G0890_p0041,v3c,both,G0890,41,0.0,29.243,
v3c_G0890_p0064,v3c,both,G0890,64,0.0,131.922,
v3c_G0890_p0067,v3c,both,G0890,67,0.0,1429.999,
v3c_G0890_p0068,v3c,both,G0890,68,0.0,33.822,
v3c_G0890_p0069,v3c,both,G0890,69,0.0,195.048,
v3c_G0890_p0072,v3c,both,G0890,72,0.0,14.333,
v3c_G0890_p0073,v3c,both,G0890,73,0.0,15.925,
v3c_G0890_p0076,v3c,both,G0890,76,0.0,94.396,
v3c_G0891_p0000,v3c,both,G0891,0,0.0,14.951,
v3c_G0891_p0001,v3c,both,G0891,1,0.0,15.05,
v3c_G0891_p0002,v3c,both,G0891,2,0.0,19.45,
v3c_G0891_p0003,v3c,both,G0891,3,0.0,68.085,
v3c_G0891_p0004,v3c,both,G0891,4,0.0,25.462,
v3c_G0891_p0005,v3c,both,G0891,5,0.0,34.659,
v3c_G0891_p0006,v3c,both,G0891,6,0.0,37.804,
v3c_G0891_p0008,v3c,both,G0891,8,0.0,38.381,
v3c_G0891_p0009,v3c,both,G0891,9,0.0,34.002,
v3c_G0891_p0022,v3c,both,G0891,22,0.0,104.731,
v3c_G0891_p0024,v3c,both,G0891,24,0.0,97.702,
v3c_G0891_p0027,v3c,both,G0891,27,0.0,54.684,
v3c_G0891_p0028,v3c,both,G0891,28,0.0,54.684,
v3c_G0891_p0029,v3c,both,G0891,29,0.0,54.763,
v3c_G0891_p0030,v3c,both,G0891,30,0.0,34.618,
v3c_G0892_p0007,v3c,both,G0892,7,0.0,50.246,
v3c_G0892_p0019,v3c,both,G0892,19,0.0,54.664,
v3c_G0892_p0020,v3c,both,G0892,20,0.0,54.684,
v3c_G0892_p0021,v3c,both,G0892,21,0.0,54.385,
v3c_G0892_p0022,v3c,both,G0892,22,0.0,54.962,
v3c_G0892_p0023,v3c,both,G0892,23,0.0,39.913,
v3c_G0892_p0024,v3c,both,G0892,24,0.0,7.485,
v3c_G0892_p0025,v3c,both,G0892,25,0.0,8.48,
v3c_G0922_p0000,v3c,both,G0922,0,0.0,11.707,
v3c_G0922_p0001,v3c,both,G0922,1,0.0,10.731,
v3c_G0922_p0015,v3c,both,G0922,15,0.0,18.635,
v3c_G0922_p0023,v3c,both,G0922,23,0.0,22.159,
v3c_G0922_p0033,v3c,both,G0922,33,0.0,17.062,
v3c_G0922_p0044,v3c,both,G0922,44,0.0,18.237,
v3c_G0922_p0045,v3c,both,G0922,45,0.0,6.67,
v3c_G0922_p0048,v3c,both,G0922,48,0.0,26.559,
v3c_G0922_p0055,v3c,both,G0922,55,0.0,84.294,
v3c_G0922_p0058,v3c,both,G0922,58,0.0,9.656,
v3c_G0922_p0060,v3c,both,G0922,60,0.0,68.488,
v3c_G0922_p0081,v3c,both,G0922,81,0.0,22.815,
v3c_G0922_p0088,v3c,both,G0922,88,0.0,8.76,
v3c_G0922_p0097,v3c,both,G0922,97,0.0,31.396,
v3c_G0922_p0102,v3c,both,G0922,102,0.0,21.94,
v3c_G0922_p0120,v3c,both,G0922,120,0.0,394.644,
v3c_G0922_p0122,v3c,both,G0922,122,0.0,43.62,
v3c_G0922_p0125,v3c,both,G0922,125,0.0,13.538,
v3c_G0922_p0127,v3c,both,G0922,127,0.0,14.693,
v3c_G0922_p0129,v3c,both,G0922,129,0.0,27.095,
v3c_G0922_p0130,v3c,both,G0922,130,0.0,27.912,
v3c_G0922_p0142,v3c,both,G0922,142,0.0894,151.181,
v3c_G0922_p0143,v3c,both,G0922,143,0.0,67.35,
v3c_G0922_p0152,v3c,both,G0922,152,0.0,3.862,
v3c_G0923_p0009,v3c,both,G0923,9,0.0,14.952,
v3c_G0923_p0014,v3c,both,G0923,14,0.0,26.021,
v3c_G0923_p0018,v3c,both,G0923,18,0.0,66.058,
v3c_G0923_p0029,v3c,both,G0923,29,0.0,23.911,
v3c_G0923_p0033,v3c,both,G0923,33,0.0,44.716,
v3c_G0923_p0051,v3c,both,G0923,51,0.0,154.915,
v3c_G0923_p0056,v3c,both,G0923,56,0.0,133.471,
v3c_G0923_p0059,v3c,both,G0923,59,0.0,39.838,
v3c_G0923_p0062,v3c,both,G0923,62,0.0,30.799,
v3c_G0923_p0065,v3c,both,G0923,65,0.0,23.492,
v3c_G0923_p0066,v3c,both,G0923,66,0.0,18.077,
v3c_G0923_p0069,v3c,both,G0923,69,0.0,21.84,
v3c_G0923_p0088,v3c,both,G0923,88,0.0,17.002,
v3c_G0923_p0089,v3c,both,G0923,89,0.0,7.963,
v3c_G0923_p0091,v3c,both,G0923,91,0.0,23.074,
v3c_G0923_p0093,v3c,both,G0923,93,0.0,29.624,
v3c_G0923_p0094,v3c,both,G0923,94,0.0,34.74,
v3c_G0923_p0096,v3c,both,G0923,96,0.0,14.294,
